green_channel,red_channel,ir_channel,Anomaly_ch0,Anomaly_ch1,Anomaly_ch2,Anomaly_ch2
13132,41935,63209,0,0,1,0
13074,41884,63132,0,0,1,0
13014,41830,63059,0,0,1,0
12950,41773,62985,0,0,1,0
12881,41714,62907,0,0,1,0
12809,41654,62821,0,0,1,0
12734,41589,62727,0,0,1,0
12658,41518,62624,0,0,1,0
12577,41443,62511,0,0,1,0
12491,41365,62389,0,0,1,0
12400,41286,62261,0,0,1,0
12309,41211,62131,0,0,1,0
12219,41140,61998,0,0,1,0
12130,41070,61860,0,0,1,0
12038,40995,61718,0,0,1,0
11942,40916,61575,0,0,1,0
11845,40838,61435,0,0,1,0
11750,40763,61301,0,0,1,0
11656,40689,61174,0,0,1,0
11566,40618,61051,0,0,1,0
11482,40552,60928,0,0,1,0
11403,40491,60808,0,0,1,0
11330,40433,60694,0,0,1,0
11265,40379,60591,0,0,1,0
11218,40336,60508,0,0,1,0
11194,40314,60461,0,0,1,0
11203,40322,60464,0,0,1,0
11253,40367,60528,0,0,1,0
11356,40458,60668,0,0,1,0
11522,40600,60896,0,0,1,0
11756,40801,61227,0,0,1,0
12060,41063,61670,0,0,1,0
12434,41387,60906,0,0,1,0
12870,41763,56871,0,0,1,0
13356,42183,49819,0,0,1,0
13881,42636,41462,0,0,1,0
14430,43112,33003,0,0,1,0
14986,43595,25217,0,0,1,0
15532,44068,18539,0,0,1,0
16055,44520,13144,0,0,1,0
16540,44942,9035,0,0,1,0
16978,45323,6104,0,0,1,0
17359,45653,4180,0,0,1,0
17679,45931,3068,0,0,1,0
17939,46161,2573,0,0,1,0
18143,46345,2516,0,0,1,0
18293,46482,2744,0,0,1,0
18397,46578,3136,0,0,1,0
18462,46637,3600,0,0,1,0
18494,46665,4075,0,0,1,0
18504,46671,4514,0,0,1,0
18498,46659,4890,0,0,1,0
18482,46638,5195,0,0,1,0
18459,46613,5432,0,0,1,0
18432,46586,5605,0,0,1,0
18402,46557,5726,0,0,1,0
18373,46530,5803,0,0,1,0
18345,46504,5841,0,0,1,0
18316,46480,5847,0,0,1,0
18287,46458,5830,0,0,1,0
18261,46439,5799,0,0,1,0
18237,46421,5761,0,0,1,0
18213,46405,5720,0,0,1,0
18188,46393,5674,0,0,1,0
18161,46381,5622,0,0,1,0
18134,46363,5561,0,0,1,0
18101,46333,5488,0,0,1,0
18060,46284,5402,0,0,1,0
18003,46220,5297,0,0,1,0
17923,46138,5169,0,0,1,0
17819,46039,5018,0,0,1,0
17696,45925,4843,0,0,1,0
17557,45799,4648,0,0,1,0
17409,45664,4435,0,0,1,0
17257,45524,4211,0,0,1,0
17106,45384,3985,0,0,1,0
16962,45249,3766,0,0,1,0
16828,45125,3563,0,0,1,0
16707,45015,3379,0,0,1,0
16602,44924,3216,0,0,1,0
16517,44854,3084,0,0,1,0
16453,44804,2988,0,0,1,0
16411,44774,2924,0,0,1,0
16389,44760,2889,0,0,1,0
16382,44756,2874,0,0,1,0
16384,44759,2870,0,0,1,0
16389,44764,2872,0,0,1,0
16395,44769,2876,0,0,1,0
16398,44772,2878,0,0,1,0
16397,44771,2873,0,0,1,0
16388,44764,2858,0,0,1,0
16371,44749,2835,0,0,1,0
16343,44723,2797,0,0,1,0
16302,44685,2740,0,0,1,0
16248,44640,2664,0,0,1,0
16186,44588,2573,0,0,1,0
16115,44527,2467,0,0,1,0
16036,44456,2348,0,0,1,0
15950,44378,2219,0,0,1,0
15856,44294,2079,0,0,1,0
15755,44203,1931,0,0,1,0
15648,44104,1776,0,0,1,0
15540,44002,1615,0,0,1,0
15432,43901,1447,0,0,1,0
15322,43801,1276,0,0,1,0
15209,43701,1106,0,0,1,0
15091,43600,934,0,0,1,0
14973,43497,2078,0,0,1,0
14856,43392,6592,0,0,1,0
14740,43287,14208,0,0,1,0
14625,43183,23184,0,0,1,0
14510,43080,32298,0,0,1,0
14393,42975,40755,0,0,1,0
14274,42873,48098,0,0,1,0
14154,42774,54121,0,0,1,0
14034,42675,58801,0,0,1,0
13917,42578,62230,0,0,1,0
13802,42483,64567,0,0,1,0
13693,42389,467,0,0,1,0
13591,42297,1203,0,0,1,0
13493,42209,1424,0,0,1,0
13396,42126,1285,0,0,1,0
13302,42048,914,0,0,1,0
13213,41974,417,0,0,1,0
13129,41902,65408,0,0,1,0
13050,41831,64868,0,0,1,0
