green_channel,red_channel,ir_channel,Anomaly_ch0
20516,55601,37128,0
20556,55634,37182,0
20595,55663,37235,0
20628,55686,37285,0
20657,55702,37330,0
20683,55715,37370,0
20702,55726,37408,0
20716,55736,37443,0
20729,55742,37471,0
20740,55748,37493,0
20748,55752,37507,0
20750,55755,37511,0
20751,55757,37508,0
20754,55757,37499,0
20754,55755,37489,0
20751,55748,37475,0
20746,55737,37459,0
20743,55725,37445,0
20740,55715,37435,0
20737,55709,37428,0
20738,55706,37426,0
20747,55710,37435,0
20762,55718,37454,0
20779,55729,37477,0
20797,55742,37502,0
20814,55757,37533,0
20830,55772,37566,0
20840,55784,37593,0
20847,55790,37613,0
20851,55789,37628,0
20849,55785,37641,0
20847,55784,37651,0
20846,55788,37661,0
20847,55795,37673,0
20846,55802,37679,0
20844,55803,37677,0
20842,55801,37669,0
20837,55794,37658,0
20825,55786,37643,0
20806,55773,37618,0
20785,55753,37588,0
20764,55734,37558,0
20743,55716,37528,0
20725,55699,37499,0
20711,55685,37472,0
20699,55670,37447,0
20684,55652,37416,0
20667,55631,37378,0
20651,55609,37336,0
20633,55587,37293,0
20612,55565,37249,0
20591,55544,37210,0
20573,55527,37177,0
20555,55512,37149,0
20536,55494,37120,0
20517,55475,37091,0
20495,55455,37064,0
20472,55434,37036,0
20446,55413,37005,0
20420,55397,36971,0
20394,55383,36938,0
20369,55371,36909,0
20344,55356,36884,0
20321,55341,36860,0
20300,55327,36836,0
20280,55314,36812,0
20260,55297,36783,0
20241,55278,36751,0
20221,55257,36720,0
20195,55231,36685,0
20167,55203,36646,0
20138,55176,36604,0
20109,55154,36563,0
20079,55135,36523,0
20052,55121,36483,0
20029,55111,36446,0
20011,55103,36415,0
19993,55093,36387,0
19970,55080,36355,0
19943,55065,36322,0
19915,55049,36291,0
19885,55030,36261,0
19856,55013,36231,0
19830,54996,36204,0
19808,54982,36182,0
19784,54968,36162,0
19757,54952,36137,0
19732,54936,36108,0
19705,54918,36073,0
19677,54898,36032,0
19650,54874,35985,0
19623,54849,35937,0
19593,54824,35890,0
19561,54799,35841,0
19531,54776,35793,0
19502,54756,35746,0
19474,54735,35698,0
19446,54713,35647,0
19420,54689,35594,0
19393,54666,35544,0
19362,54640,35494,0
19331,54614,35447,0
19303,54591,35402,0
19275,54570,35363,0
19248,54550,35331,0
19226,54527,35299,0
19210,54500,35263,0
19190,54471,35225,0
19165,54445,35193,0
19138,54423,35164,0
19117,54409,35142,0
19105,54406,35139,0
19102,54413,35158,0
19109,54428,35195,0
19131,54456,35254,0
19168,54496,35337,0
19215,54548,35441,0
19272,54608,35562,0
19343,54677,35703,0
19429,54755,35862,0
19527,54843,36033,0
19635,54941,36212,0
19753,55047,36400,0
19874,55153,36595,0
19990,55253,36786,0
20096,55345,36965,0
20193,55429,37133,0
20281,55502,37287,0
20359,55560,37424,0
20428,55607,37543,0
20491,55647,37649,0
20545,55684,37745,0
20591,55718,37829,0
20632,55750,37900,0
20669,55778,37959,0
20702,55799,38005,0
20728,55814,38042,0
20752,55829,38075,0
20775,55848,38112,0
20798,55869,38154,0
20822,55893,38197,0
20852,55919,38242,0
20884,55949,38290,0
20914,55977,38339,0
20940,56000,38382,0
20964,56022,38421,0
20986,56042,38462,0
21003,56057,38502,0
21017,56067,38537,0
21030,56076,38570,0
21042,56083,38608,0
21053,56092,38651,0
21068,56105,38693,0
21090,56122,38731,0
21110,56136,38762,0
21124,56144,38783,0
21128,56146,38790,0
21123,56143,38785,0
21108,56136,38774,0
21085,56122,38759,0
21061,56103,38741,0
21039,56085,38724,0
21016,56069,38707,0
20991,56054,38687,0
20969,56040,38664,0
20953,56028,38642,0
20935,56018,38621,0
20914,56009,38603,0
20891,56001,38589,0
20873,55993,38580,0
20860,55988,38578,0
20853,55986,38580,0
20852,55987,38582,0
20856,55990,38586,0
20860,55992,38588,0
20859,55992,38586,0
20854,55989,38580,0
20847,55983,38573,0
20838,55977,38568,0
20826,55969,38563,0
20815,55963,38559,0
20805,55958,38557,0
20792,55953,38551,0
20772,55941,38534,0
20749,55924,38507,0
20723,55902,38472,0
20692,55878,38427,0
20659,55853,38375,0
20625,55827,38325,0
20592,55799,38279,0
20560,55769,38237,0
20528,55739,38193,0
20494,55712,38152,0
20461,55689,38113,0
20425,55666,38072,0
20385,55640,38025,0
20341,55610,37975,0
20293,55576,37926,0
20241,55540,37874,0
20190,55502,37821,0
20145,55467,37773,0
20103,55434,37730,0
20059,55404,37686,0
20014,55372,37636,0
19968,55341,37585,0
19923,55312,37535,0
19878,55285,37488,0
19835,55256,37442,0
19793,55227,37396,0
19753,55200,37351,0
19712,55174,37306,0
19675,55150,37258,0
19641,55125,37207,0
19608,55097,37155,0
19573,55065,37100,0
19535,55033,37046,0
19497,55007,36996,0
19455,54981,36948,0
19411,54956,36902,0
19372,54932,36860,0
19337,54911,36825,0
19302,54890,36793,0
19269,54869,36759,0
19240,54848,36722,0
19210,54826,36686,0
19174,54802,36651,0
19132,54780,36613,0
19090,54759,36574,0
19049,54736,36533,0
19004,54708,36493,0
18956,54675,36450,0
18911,54643,36402,0
18868,54613,36347,0
18824,54582,36287,0
18779,54551,36229,0
18738,54525,36180,0
18700,54505,36140,0
18662,54483,36103,0
18622,54459,36063,0
18583,54435,36023,0
18545,54414,35984,0
18506,54392,35941,0
18464,54368,35890,0
18423,54340,35837,0
18383,54310,35786,0
18341,54278,35732,0
18301,54246,35675,0
18261,54216,35618,0
18223,54185,35565,0
