green_channel,red_channel,ir_channel
27062,52827,21200
27395,53106,21655
27693,53355,22063
27953,53572,22421
28177,53756,22727
28365,53908,22982
28515,54030,23185
28631,54121,23337
28712,54180,23443
28758,54207,23503
28769,54205,23519
28747,54175,23489
28695,54119,23419
28616,54042,23315
28512,53945,23181
28386,53831,23016
28242,53702,22823
28081,53560,22611
27904,53406,22383
27716,53244,22139
27518,53075,21880
27309,52898,21607
27092,52716,21323
26871,52530,21031
26645,52339,20732
26413,52144,20432
26175,51944,20130
25933,51740,19825
25689,51535,19516
25444,51332,19206
25202,51133,18900
24970,50944,18604
24755,50770,18326
24560,50616,18074
24391,50487,17855
24254,50384,17674
24157,50308,17538
24100,50260,17451
24079,50240,17411
24094,50248,17412
24142,50284,17452
24221,50347,17531
24326,50438,17648
24455,50553,17797
24600,50683,17973
24756,50820,18171
24919,50962,18383
25086,51107,18601
25253,51250,18818
25416,51386,19031
25570,51513,19235
25715,51629,19423
25848,51732,19593
25963,51821,19742
26059,51895,19867
26135,51957,19966
26190,52004,20040
26222,52033,20089
26234,52046,20113
26232,52046,20113
26218,52031,20091
26190,51998,20050
26145,51953,19989
26088,51900,19912
26022,51843,19824
25947,51779,19723
25859,51705,19609
25759,51619,19481
25653,51527,19342
25541,51431,19196
25423,51330,19039
25300,51226,18873
25176,51118,18706
25050,51008,18537
24919,50897,18365
24784,50787,18190
24648,50678,18018
24511,50569,17845
24375,50461,17670
24240,50355,17499
24105,50251,17333
23973,50146,17172
23848,50044,17017
23731,49949,16870
23620,49857,16728
23512,49766,16589
23410,49679,16451
23313,49596,16317
23218,49515,16188
23124,49437,16063
23037,49363,15944
22956,49294,15832
22880,49229,15725
22807,49169,15621
22739,49113,15522
22674,49062,15431
22611,49013,15346
22550,48964,15264
22491,48915,15183
22437,48869,15105
22385,48824,15031
22334,48781,14959
22285,48744,14892
22236,48710,14832
22184,48677,14777
22134,48644,14724
22089,48612,14669
22047,48580,14615
22009,48549,14563
21971,48521,14511
21933,48493,14459
21894,48462,14404
21851,48425,14343
21804,48384,14278
21755,48342,14209
21704,48297,14139
21652,48251,14069
21603,48206,14000
21554,48163,13933
21508,48125,13868
21465,48091,13805
21427,48061,13745
21396,48035,13695
21376,48019,13666
21378,48020,13666
21413,48049,13708
21491,48117,13808
21625,48232,13978
21826,48399,14228
22092,48620,14558
22419,48895,14968
22799,49218,15450
23220,49576,15987
23673,49959,16561
24144,50356,17157
24618,50752,17763
25083,51138,18363
25534,51508,18946
25964,51858,19504
26365,52183,20029
26730,52482,20516
27059,52750,20958
27351,52987,21355
27603,53192,21705
27815,53367,22003
27987,53512,22246
28120,53625,22435
28214,53705,22571
28271,53752,22658
28293,53770,22701
28283,53760,22700
28244,53724,22656
28178,53666,22573
28086,53588,22453
27971,53490,22300
27834,53371,22117
27675,53230,21904
27496,53071,21665
27302,52898,21406
27096,52713,21132
26880,52520,20846
26657,52324,20553
26426,52125,20253
26188,51921,19949
25943,51711,19641
25692,51497,19324
25435,51281,18998
25171,51063,18667
24904,50844,18330
24638,50629,17992
24377,50418,17659
24125,50216,17336
23890,50028,17032
23679,49861,16759
23500,49715,16526
23356,49595,16337
23248,49507,16193
23179,49453,16097
23149,49434,16051
23161,49448,16055
23215,49496,16110
23310,49577,16213
23440,49684,16355
23597,49812,16530
23775,49955,16734
23965,50109,16961
24160,50271,17203
24355,50438,17452
24543,50604,17698
24721,50762,17936
24887,50906,18158
25040,51035,18363
25176,51149,18548
25296,51246,18710
25397,51327,18847
25478,51394,18956
25542,51446,19036
25586,51481,19089
25610,51498,19116
25617,51497,19118
25606,51481,19097
25578,51454,19056
25531,51416,18998
25467,51366,18921
25389,51302,18827
25298,51226,18715
25193,51140,18585
25076,51045,18440
24950,50942,18280
24815,50832,18109
24671,50715,17929
24523,50593,17739
24371,50466,17540
24216,50335,17337
24058,50200,17129
23901,50063,16915
23744,49926,16699
23587,49790,16487
23433,49657,16280
23284,49530,16078
23138,49408,15885
22995,49292,15702
22858,49183,15525
22728,49082,15355
22604,48984,15192
22485,48887,15037
22371,48792,14887
22261,48701,14743
22157,48617,14605
22059,48538,14477
21967,48460,14357
21881,48386,14244
21800,48318,14137
21719,48253,14031
21640,48188,13926
21566,48127,13824
21496,48067,13727
21427,48011,13634
21359,47961,13544
21294,47914,13456
21230,47867,13369
21168,47818,13285
21107,47769,13204
21048,47724,13127
20995,47679,13055
20945,47635,12986
20897,47592,12916
20849,47550,12843
20801,47510,12771
20751,47472,12702
20701,47435,12634
20650,47396,12563
20598,47356,12493
20546,47314,12425
20499,47273,12358
20456,47236,12292
20414,47199,12229
20373,47164,12169
20335,47134,12113
20303,47112,12065
20278,47098,12035
20272,47098,12031
20297,47124,12067
20363,47184,12155
20483,47289,12313
20666,47447,12554
20921,47667,12887
21247,47947,13311
21639,48280,13816
22087,48658,14389
22581,49071,15012
23099,49501,15668
23623,49937,16335
24139,50365,16995
24636,50773,17632
25104,51154,18238
25536,51506,18803
25928,51827,19319
26277,52115,19782
26581,52366,20192
26842,52582,20549
27062,52764,20853
27245,52913,21105
27391,53032,21307
27498,53118,21457
27568,53172,21556
27602,53196,21605
27602,53192,21607
27570,53163,21568
27509,53110,21491
27417,53035,21378
27294,52935,21231
27146,52811,21051
26977,52666,20842
26791,52505,20607
26589,52329,20352
26372,52140,20080
26141,51942,19787
25897,51734,19475
25640,51517,19149
25374,51292,18809
25099,51060,18455
24817,50822,18091
24530,50578,17718
24241,50330,17337
23952,50083,16951
23664,49839,16570
23380,49603,16200
23106,49379,15849
22853,49172,15519
22626,48986,15221
22430,48826,14966
22268,48699,14763
22148,48608,14617
22072,48553,14530
22043,48535,14501
22060,48555,14527
22125,48614,14608
22232,48708,14745
22377,48833,14930
22553,48983,15154
22757,49155,15411
22982,49344,15695
23218,49546,15999
23459,49753,16311
23700,49958,16622
23934,50156,16925
24156,50344,17212
24363,50517,17475
24551,50671,17707
24715,50804,17912
24854,50916,18090
24966,51008,18236
25052,51080,18349
25115,51131,18430
25156,51163,18482
25176,51175,18506
25173,51168,18505
25148,51142,18479
25102,51100,18428
25040,51048,18351
24965,50983,18253
24876,50905,18139
24772,50814,18011
24656,50717,17869
24531,50615,17715
24400,50506,17552
24261,50391,17377
24120,50272,17191
23977,50151,16998
23833,50025,16801
23687,49898,16604
23543,49776,16409
23403,49659,16218
23264,49544,16030
23123,49430,15844
22981,49320,15664
22839,49211,15489
22700,49103,15319
22570,48995,15153
22450,48892,14994
22334,48792,14843
22219,48696,14701
22108,48604,14562
22004,48516,14429
21906,48434,14303
21814,48359,14188
21729,48291,14080
21650,48227,13978
21575,48166,13879
21505,48107,13781
21440,48052,13685
21380,47998,13590
21323,47945,13498
21264,47892,13410
21206,47842,13324
21152,47791,13238
21098,47739,13154
21041,47688,13074
20985,47640,12998
20933,47595,12924
20884,47552,12854
20835,47512,12784
20786,47475,12716
20739,47440,12651
20692,47405,12591
20644,47369,12534
20596,47334,12479
20550,47302,12428
20505,47274,12384
20464,47248,12342
20430,47227,12307
20409,47217,12289
20408,47222,12298
20441,47252,12346
20520,47319,12450
20658,47437,12630
20868,47612,12901
21154,47851,13265
21516,48152,13721
21944,48508,14259
22422,48905,14861
22936,49331,15507
23465,49773,16180
23994,50218,16865
24510,50655,17544
25006,51073,18201
25476,51465,18825
25912,51825,19409
26309,52151,19944
26665,52442,20426
26979,52699,20851
27250,52921,21220
27478,53109,21533
27671,53266,21791
27825,53393,21996
27941,53489,22152
28022,53553,22259
28066,53588,22320
28074,53594,22335
28047,53573,22306
27987,53524,22236
27897,53450,22129
27783,53354,21989
27647,53236,21817
27489,53101,21614
27313,52950,21382
27119,52784,21129
26912,52604,20862
26693,52414,20583
26465,52216,20290
26229,52010,19987
25985,51799,19674
25734,51586,19350
25477,51369,19015
25214,51148,18673
24943,50921,18325
24670,50690,17973
24396,50460,17620
24127,50233,17272
23870,50018,16934
23633,49820,16620
23421,49644,16336
23238,49492,16089
23086,49368,15886
22970,49277,15732
22895,49220,15629
22862,49199,15582
22872,49213,15594
22925,49264,15663
23020,49350,15786
23153,49465,15958
23317,49604,16167
23507,49762,16403
23716,49933,16659
23935,50112,16929
24154,50292,17206
24368,50469,17481
24576,50641,17747
24774,50803,18001
24960,50953,18235
25130,51090,18447
25281,51210,18636
25407,51312,18799
25506,51395,18934
25582,51458,19040
25635,51501,19116
25668,51524,19163
25680,51532,19182
25677,51526,19180
25660,51509,19161
25628,51479,19124
25583,51437,19066
25525,51386,18987
25457,51328,18891
25377,51260,18781
25287,51183,18653
25186,51099,18507
25073,51008,18350
24948,50908,18182
24816,50802,18006
24677,50687,17823
24532,50565,17638
24379,50436,17450
24222,50305,17256
24066,50174,17058
23913,50043,16858
23765,49911,16662
23623,49785,16468
23489,49667,16281
23360,49555,16102
23234,49446,15930
23111,49339,15763
22991,49237,15602
22871,49137,15448
22756,49042,15301
22647,48955,15162
22546,48876,15026
22452,48800,14895
22365,48727,14769
22284,48660,14649
22207,48596,14537
22133,48535,14434
22060,48475,14336
21988,48418,14243
21919,48364,14152
21851,48313,14066
21786,48265,13987
21727,48221,13912
21670,48180,13839
21615,48142,13769
21560,48105,13701
21507,48068,13632
21452,48027,13562
21393,47983,13492
21335,47938,13424
21279,47894,13358
21227,47851,13290
21177,47810,13224
21131,47771,13166
21094,47736,13114
21067,47708,13069
21051,47690,13039
21051,47686,13030
21079,47704,13053
21144,47752,13127
21257,47840,13266
21433,47987,13485
21681,48201,13796
22005,48479,14203
22400,48815,14705
22857,49202,15289
23362,49627,15935
23895,50075,16621
24441,50532,17328
24983,50987,18036
25510,51428,18730
26011,51849,19398
26484,52244,20034
26925,52612,20628
27333,52951,21176
27701,53257,21673
28026,53529,22117
28309,53765,22507
28553,53968,22842
28757,54139,23125
28923,54277,23356
29054,54381,23536
29151,54454,23668
29213,54495,23754
29241,54506,23795
29238,54489,23792
29207,54446,23749
29149,54380,23672
29063,54293,23562
28952,54191,23421
28818,54077,23251
28663,53950,23054
28494,53809,22832
28315,53657,22592
28124,53496,22340
27923,53326,22078
27719,53150,21809
27512,52972,21535
27304,52793,21258
27091,52612,20977
26875,52431,20692
26657,52250,20405
26439,52070,20121
26220,51892,19838
26002,51714,19555
25791,51539,19276
25590,51374,19014
25405,51222,18777
25242,51090,18569
25108,50983,18397
25006,50900,18266
24937,50842,18177
24903,50814,18129
24908,50816,18125
24949,50847,18166
25022,50906,18251
25125,50991,18373
25254,51098,18528
25400,51221,18709
25562,51356,18910
25737,51501,19127
25917,51654,19354
