green_channel,red_channel,ir_channel,Anomaly_ch0,Anomaly_ch1,Anomaly_ch2
23944,18603,30479,0,0,0
23959,18616,30515,0,0,0
23953,18621,30534,0,0,0
23940,18609,30529,0,0,0
23937,18595,30523,0,0,0
23935,18589,30526,0,0,0
23916,18579,30519,0,0,0
23895,18561,30496,0,0,0
23881,18546,30478,0,0,0
23858,18535,30467,0,0,0
23818,18513,30439,0,0,0
23777,18480,30392,0,0,0
23751,18458,30351,0,0,0
23730,18451,30326,0,0,0
23702,18442,30296,0,0,0
23680,18425,30260,0,0,0
23673,18415,30234,0,0,0
23664,18410,30219,0,0,0
23647,18398,30195,0,0,0
23636,18379,30161,0,0,0
23637,18370,30138,0,0,0
23634,18369,30126,0,0,0
23623,18365,30105,0,0,0
23619,18358,30075,0,0,0
23621,18362,30057,0,0,0
23611,18370,30048,0,0,0
23588,18366,30027,0,0,0
23568,18353,29998,0,0,0
23554,18346,29982,0,0,0
23531,18339,29971,0,0,0
23497,18318,29946,0,0,0
23475,18295,29918,0,0,0
23467,18288,29905,0,0,0
23453,18284,29894,0,0,0
23430,18270,29869,0,0,0
23421,18258,29843,0,0,0
23427,18263,29836,0,0,0
23429,18272,29836,0,0,0
23430,18273,29831,0,0,0
23442,18272,29828,0,0,0
23459,18276,29841,0,0,0
23470,18280,29851,0,0,0
23479,18277,29846,0,0,0
23499,18281,29845,0,0,0
23523,18296,29863,0,0,0
23536,18307,29877,0,0,0
23543,18307,29877,0,0,0
23560,18308,29882,0,0,0
23578,18318,29900,0,0,0
23583,18326,29912,0,0,0
23587,18326,29913,0,0,0
23603,18334,29925,0,0,0
23617,18354,29951,0,0,0
23616,18367,29967,0,0,0
23613,18365,29967,0,0,0
23620,18364,29970,0,0,0
23623,18367,29982,0,0,0
23611,18358,29985,0,0,0
23599,18339,29975,0,0,0
23597,18327,29970,0,0,0
23588,18323,29971,0,0,0
23562,18309,29957,0,0,0
23534,18286,29928,0,0,0
23515,18270,29904,0,0,0
23493,18262,29888,0,0,0
23463,18248,29862,0,0,0
23438,18230,29829,0,0,0
23419,18221,29809,0,0,0
23395,18213,29792,0,0,0
23366,18195,29760,0,0,0
23348,18177,29720,0,0,0
23341,18171,29696,0,0,0
23322,18167,29679,0,0,0
23288,18147,29643,0,0,0
23253,18118,29598,0,0,0
23223,18100,29566,0,0,0
23189,18085,29536,0,0,0
23152,18059,29490,0,0,0
23120,18029,29438,0,0,0
23089,18005,29397,0,0,0
23051,17979,29356,0,0,0
23007,17943,29302,0,0,0
22973,17911,29250,0,0,0
22940,17895,29214,0,0,0
22894,17877,29178,0,0,0
22844,17845,29127,0,0,0
22807,17815,29077,0,0,0
22775,17796,29039,0,0,0
22734,17776,28997,0,0,0
22697,17749,28947,0,0,0
22671,17725,28906,0,0,0
22641,17708,28878,0,0,0
22595,17683,28842,0,0,0
22552,17649,28791,0,0,0
22529,17624,28751,0,0,0
22510,17614,28727,0,0,0
22479,17600,28696,0,0,0
22450,17578,28652,0,0,0
22432,17562,28616,0,0,0
22406,17551,28588,0,0,0
22368,17535,28555,0,0,0
22339,17514,28519,0,0,0
22326,17500,28497,0,0,0
22311,17492,28485,0,0,0
22283,17474,28457,0,0,0
22258,17450,28416,0,0,0
22245,17437,28384,0,0,0
22233,17433,28363,0,0,0
22215,17423,28334,0,0,0
22207,17413,28305,0,0,0
22206,17412,28291,0,0,0
22194,17412,28282,0,0,0
22171,17398,28255,0,0,0
22156,17381,28224,0,0,0
22157,17380,28213,0,0,0
22153,17387,28213,0,0,0
22137,17384,28196,0,0,0
22124,17374,28171,0,0,0
22117,17372,28156,0,0,0
22104,17367,28141,0,0,0
22086,17349,28107,0,0,0
22078,17333,28073,0,0,0
22077,17332,28056,0,0,0
22065,17332,28041,0,0,0
22045,17321,28014,0,0,0
22033,17309,27987,0,0,0
22021,17304,27970,0,0,0
22000,17297,27953,0,0,0
21977,17282,27921,0,0,0
21963,17267,27895,0,0,0
21951,17258,27886,0,0,0
21930,17244,27873,0,0,0
21909,17222,27847,0,0,0
21902,17208,27826,0,0,0
21891,17201,27813,0,0,0
21865,17191,27791,0,0,0
21843,17176,27756,0,0,0
21841,17170,27729,0,0,0
21842,17174,27716,0,0,0
21829,17170,27697,0,0,0
21813,17156,27667,0,0,0
21806,17146,27646,0,0,0
21795,17139,27634,0,0,0
21774,17127,27611,0,0,0
21761,17111,27579,0,0,0
21761,17106,27558,0,0,0
21755,17108,27550,0,0,0
21738,17105,27533,0,0,0
21726,17095,27507,0,0,0
21724,17092,27490,0,0,0
21717,17095,27481,0,0,0
21704,17092,27465,0,0,0
21703,17093,27450,0,0,0
21716,17108,27457,0,0,0
21724,17129,27474,0,0,0
21726,17139,27482,0,0,0
21745,17151,27494,0,0,0
21786,17184,27535,0,0,0
21835,17229,27597,0,0,0
21893,17276,27664,0,0,0
21980,17336,27753,0,0,0
22094,17418,27882,0,0,0
22212,17506,28033,0,0,0
22334,17586,28184,0,0,0
22471,17668,28343,0,0,0
22615,17763,28520,0,0,0
22753,17858,28705,0,0,0
22887,17943,28884,0,0,0
23027,18027,29067,0,0,0
23161,18118,29259,0,0,0
23273,18202,29439,0,0,0
23376,18270,29596,0,0,0
23482,18336,29747,0,0,0
23579,18405,29898,0,0,0
23655,18464,30032,0,0,0
23727,18512,30150,0,0,0
23808,18565,30267,0,0,0
23880,18623,30383,0,0,0
23930,18666,30475,0,0,0
23971,18690,30541,0,0,0
24015,18714,30600,0,0,0
24046,18737,30655,0,0,0
24052,18745,30687,0,0,0
24053,18741,30696,0,0,0
24062,18740,30703,0,0,0
24059,18739,30710,0,0,0
24038,18724,30698,0,0,0
24017,18699,30671,0,0,0
24003,18680,30649,0,0,0
23985,18668,30630,0,0,0
23959,18647,30600,0,0,0
23941,18623,30568,0,0,0
23929,18608,30552,0,0,0
23907,18597,30539,0,0,0
23872,18576,30507,0,0,0
23841,18553,30460,0,0,0
23821,18540,30424,0,0,0
23796,18530,30394,0,0,0
23764,18511,30352,0,0,0
23742,18493,30308,0,0,0
23728,18485,30278,0,0,0
23701,18475,30247,0,0,0
23665,18454,30201,0,0,0
23646,18435,30159,0,0,0
23642,18432,30140,0,0,0
23636,18432,30127,0,0,0
23624,18422,30100,0,0,0
23616,18412,30072,0,0,0
23606,18410,30056,0,0,0
23584,18403,30037,0,0,0
23557,18380,30001,0,0,0
23538,18361,29969,0,0,0
23524,18355,29955,0,0,0
23498,18346,29938,0,0,0
23469,18327,29908,0,0,0
23451,18311,29887,0,0,0
23430,18302,29877,0,0,0
23398,18287,29857,0,0,0
23374,18268,29826,0,0,0
23371,18259,29807,0,0,0
23373,18260,29807,0,0,0
23363,18255,29801,0,0,0
23355,18240,29781,0,0,0
23359,18231,29771,0,0,0
23362,18233,29772,0,0,0
23357,18230,29767,0,0,0
23355,18225,29755,0,0,0
23366,18233,29760,0,0,0
23376,18251,29783,0,0,0
23375,18262,29802,0,0,0
23375,18265,29814,0,0,0
23386,18273,29834,0,0,0
23392,18283,29857,0,0,0
23390,18279,29864,0,0,0
23394,18271,29867,0,0,0
23407,18276,29887,0,0,0
23414,18285,29910,0,0,0
23407,18282,29914,0,0,0
23404,18275,29910,0,0,0
23407,18279,29917,0,0,0
23399,18284,29923,0,0,0
23377,18274,29908,0,0,0
23363,18262,29891,0,0,0
23356,18260,29889,0,0,0
23340,18257,29888,0,0,0
23317,18242,29871,0,0,0
23301,18228,29850,0,0,0
23288,18224,29838,0,0,0
23268,18217,29823,0,0,0
23242,18195,29792,0,0,0
23222,18172,29757,0,0,0
23200,18158,29736,0,0,0
23163,18143,29709,0,0,0
